,Base,Base_weight,Base2,Base2_weight,Prep,Prep2,Calc.T,Calc.t,Support,Support2,Support_frac,Support2_frac,Promoter,Promoter_weight,Promoter2,Promoter2_weight,T,H2,O2,CO,H2O,CO2,CH4,TOS,F/W,conversion
0,Au,1.0,0,0.0,DP,0,25,0.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,140.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,2.0,7.6
1,Au,3.0,0,0.0,DP,0,25,0.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,140.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,2.0,11.1
2,Au,5.0,0,0.0,DP,0,25,0.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,140.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,2.0,18.0
3,Au,1.0,0,0.0,DP,0,25,0.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,170.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,2.0,13.2
4,Au,3.0,0,0.0,DP,0,25,0.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,170.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,2.0,26.3
5,Au,5.0,0,0.0,DP,0,25,0.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,170.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,2.0,32.1
6,Au,1.0,0,0.0,DP,0,25,0.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,200.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,2.0,25.6
7,Au,3.0,0,0.0,DP,0,25,0.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,200.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,2.0,49.4
8,Au,5.0,0,0.0,DP,0,25,0.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,200.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,2.0,53.5
9,Au,1.0,0,0.0,DP,0,25,0.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,230.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,2.0,58.9
10,Au,3.0,0,0.0,DP,0,25,0.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,230.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,2.0,69.1
11,Au,5.0,0,0.0,DP,0,25,0.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,230.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,2.0,76.4
12,Au,1.0,0,0.0,DP,0,25,0.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,260.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,2.0,81.0
13,Au,3.0,0,0.0,DP,0,25,0.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,260.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,2.0,87.5
14,Au,5.0,0,0.0,DP,0,25,0.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,260.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,2.0,89.7
15,Au,1.0,0,0.0,DP,0,25,0.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,290.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,2.0,90.0
16,Au,3.0,0,0.0,DP,0,25,0.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,290.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,2.0,93.2
17,Au,5.0,0,0.0,DP,0,25,0.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,290.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,2.0,94.9
18,Au,1.0,0,0.0,DP,0,25,0.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,320.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,2.0,92.0
19,Au,3.0,0,0.0,DP,0,25,0.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,320.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,2.0,93.3
20,Au,5.0,0,0.0,DP,0,25,0.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,320.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,2.0,95.8
21,Au,1.0,0,0.0,DP,0,25,0.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,350.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,2.0,93.1
22,Au,3.0,0,0.0,DP,0,25,0.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,350.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,2.0,93.3
23,Au,5.0,0,0.0,DP,0,25,0.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,350.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,2.0,95.8
24,Au,1.0,0,0.0,DP,0,25,0.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,200.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,2.0,57.7
25,Au,1.0,0,0.0,DP,0,25,0.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,200.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,1.04,40.2
